OBJECTID,Neighbourhood,Hood_ID,Population,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_2019,Assault_AVG,Assault_CHG,Assault_Rate_2019,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,AutoTheft_2019,AutoTheft_AVG,AutoTheft_CHG,AutoTheft_Rate_2019,BreakandEnter_2014,BreakandEnter_2015,BreakandEnter_2016,BreakandEnter_2017,BreakandEnter_2018,BreakandEnter_2019,BreakandEnter_AVG,BreakandEnter_CHG,BreakandEnter_Rate_2019,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_2019,Homicide_AVG,Homicide_CHG,Homicide_Rate_2019,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_2019,Robbery_AVG,Robbery_CHG,Robbery_Rate_2019,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,TheftOver_2019,TheftOver_AVG,TheftOver_CHG,TheftOver_Rate_2019,Shape__Area,Shape__Length
76,Oakwood Village,107,21210,107,137,131,118,123,152,128,0.24,716.6,20,11,24,13,27,38,22.2,0.41,179.2,24,28,22,40,20,49,30.5,1.45,231,2,0,0,0,0,2,0.7,2,9.4,31,19,26,25,18,42,26.8,1.33,198,2,3,2,5,2,2,2.7,0,9.4,2219473.01538086,6334.9891892606
77,Wexford/Maryvale,119,27917,178,214,185,188,196,232,198.8,0.18,831,52,48,42,67,81,88,63,0.09,315.2,124,92,76,85,100,85,93.7,-0.15,304.5,2,0,2,0,1,1,1,0,3.6,44,37,28,34,33,27,33.8,-0.18,96.7,16,16,12,11,13,15,13.8,0.15,53.7,10263854.2668457,14186.6318842575
78,Eglinton East,138,22776,179,173,201,198,181,194,187.7,0.07,851.8,16,21,22,28,9,28,20.7,2.11,122.9,41,76,65,56,45,58,56.8,0.29,254.7,0,0,0,1,1,2,0.7,1,8.8,61,45,40,36,34,27,40.5,-0.21,118.5,7,3,6,1,6,8,5.2,0.33,35.1,3223146.08447266,10012.8669795043
79,Elms-Old Rexdale,005,9456,40,50,61,58,51,67,54.5,0.31,708.5,7,18,16,12,32,28,18.8,-0.13,296.1,7,17,10,12,7,10,10.5,0.43,105.8,0,0,0,2,0,0,0.3,0,0,11,6,18,20,12,14,13.5,0.17,148.1,1,1,0,2,1,4,1.5,3,42.3,2931145.3269043,9356.68707155631
80,Agincourt North,129,29113,67,76,77,71,79,79,74.8,0,271.4,17,29,16,32,42,42,29.7,0,144.3,46,52,49,49,69,56,53.5,-0.19,192.4,1,0,0,0,0,0,0.2,0,0,33,36,13,22,42,35,30.2,-0.17,120.2,1,5,5,11,4,2,4.7,-0.5,6.9,7261856.69628906,12381.2649696234
81,Agincourt South-Malvern West,128,23757,107,112,136,115,114,123,117.8,0.08,517.7,32,29,26,35,36,62,36.7,0.72,261,73,60,61,92,93,100,79.8,0.08,420.9,0,0,0,0,1,0,0.2,-1,0,24,23,21,34,33,29,27.3,-0.12,122.1,19,11,11,14,10,15,13.3,0.5,63.1,7873163.26635742,15386.5562955367
82,Englemount-Lawrence,032,22372,88,83,129,110,98,116,104,0.18,518.5,29,23,23,32,41,23,28.5,-0.44,102.8,45,41,59,47,52,33,46.2,-0.37,147.5,0,0,0,0,1,0,0.2,-1,0,31,14,44,22,11,16,23,0.45,71.5,5,2,7,10,7,7,6.3,0,31.3,3478190.15258789,8311.86902775845
83,Eringate-Centennial-West Deane,011,18588,55,64,66,61,34,44,54,0.29,236.7,27,24,30,29,27,41,29.7,0.52,220.6,40,28,28,18,33,20,27.8,-0.39,107.6,0,0,0,0,2,1,0.5,-0.5,5.4,17,14,18,21,11,12,15.5,0.09,64.6,6,4,4,2,4,5,4.2,0.25,26.9,8645508.05029297,15361.2459804538
84,L'Amoreaux,117,43993,123,154,169,175,162,195,163,0.2,443.3,16,20,27,25,31,36,25.8,0.16,81.8,68,84,50,73,76,86,72.8,0.13,195.5,0,0,2,1,0,0,0.5,0,0,50,35,37,40,40,60,43.7,0.5,136.4,4,9,4,6,9,2,5.7,-0.78,4.5,7154890.52246094,12565.6272024982
85,Banbury-Don Mills,042,27695,61,78,84,109,77,74,80.5,-0.04,267.2,19,20,7,16,27,42,21.8,0.56,151.7,65,87,57,64,85,81,73.2,-0.05,292.5,0,0,0,0,0,0,0,0,0,13,29,21,10,7,10,15,0.43,36.1,10,14,11,5,8,14,10.3,0.75,50.6,10041548.4909668,18165.1239195877
86,Bathurst Manor,034,15873,42,38,64,51,58,50,50.5,-0.14,315,35,22,25,22,32,24,26.7,-0.25,151.2,34,29,33,38,32,22,31.3,-0.31,138.6,0,0,0,0,0,0,0,0,0,5,8,10,13,8,12,9.3,0.5,75.6,2,2,4,4,3,5,3.3,0.67,31.5,4760303.53491211,14569.4785655036
87,Alderwood,020,12054,45,47,39,21,30,36,36.3,0.2,298.7,9,18,17,14,25,14,16.2,-0.44,116.1,23,27,26,23,23,26,24.7,0.13,215.7,1,0,0,0,0,0,0.2,0,0,5,6,11,6,8,5,6.8,-0.38,41.5,7,3,10,7,7,7,6.8,0,58.1,4978487.8605957,9168.69872738303
88,Regent Park,072,10803,98,83,97,110,123,156,111.2,0.27,1444,8,11,3,7,9,21,9.8,1.33,194.4,30,30,25,29,27,65,34.3,1.41,601.7,1,0,1,3,2,1,1.3,-0.5,9.3,20,14,12,14,20,14,15.7,-0.3,129.6,8,4,2,2,5,5,4.3,0,46.3,650295.324462891,3258.96762719123
89,Bendale,127,29960,196,214,249,261,270,266,242.7,-0.01,887.9,45,49,46,33,55,55,47.2,0,183.6,97,61,57,61,51,52,63.2,0.02,173.6,1,0,3,0,0,1,0.8,1,3.3,65,64,68,78,46,40,60.2,-0.13,133.5,8,10,12,20,14,9,12.2,-0.36,30,7456416.10205078,13174.9837251446
90,Birchcliffe-Cliffside,122,22291,141,128,196,159,203,201,171.3,-0.01,901.7,11,17,16,12,24,25,17.5,0.04,112.2,74,81,78,83,71,57,74,-0.2,255.7,0,1,0,1,1,0,0.5,-1,0,16,24,22,11,19,27,19.8,0.42,121.1,3,5,6,5,8,7,5.7,-0.13,31.4,6008883.01635742,14693.3301795561
91,Weston-Pellam Park,091,11098,92,95,84,75,85,113,90.7,0.33,1018.2,23,16,16,7,13,15,15,0.15,135.2,26,23,16,8,23,24,20,0.04,216.3,1,1,1,0,1,1,0.8,0,9,10,13,15,10,25,9,13.7,-0.64,81.1,4,4,8,1,2,3,3.7,0.5,27,1460622.10791016,5535.3854105631
92,Downsview-Roding-CFB,026,35052,342,364,371,421,435,442,395.8,0.02,1261,101,101,88,83,113,161,107.8,0.42,459.3,87,76,52,58,85,115,78.8,0.35,328.1,1,0,1,2,1,3,1.3,2,8.6,70,67,52,64,71,64,64.7,-0.1,182.6,15,15,11,22,14,14,15.2,0,39.9,14992190.744873,21300.317847633
93,Lambton Baby Point,114,7985,31,45,25,29,29,27,31,-0.07,338.1,8,8,1,9,16,11,8.8,-0.31,137.8,17,13,9,10,10,16,12.5,0.6,200.4,0,0,0,0,0,0,0,0,0,2,13,6,4,1,6,5.3,5,75.1,0,2,2,0,2,1,1.2,-0.5,12.5,1781937.59228516,8088.47310658367
94,Bay Street Corridor,076,25797,593,730,727,852,808,916,771,0.13,3550.8,22,26,27,24,48,50,32.8,0.04,193.8,103,163,120,179,181,206,158.7,0.14,798.5,1,2,1,0,2,3,1.5,0.5,11.6,105,92,129,136,143,123,121.3,-0.14,476.8,54,43,41,49,54,73,52.3,0.35,283,1809355.34838867,6933.18324871132
95,Black Creek,024,21737,214,215,260,228,191,205,218.8,0.07,943.1,42,45,50,32,53,71,48.8,0.34,326.6,26,27,27,26,30,37,28.8,0.23,170.2,0,0,1,0,4,0,0.8,-1,0,43,38,37,49,26,42,39.2,0.62,193.2,9,4,8,17,8,9,9.2,0.13,41.4,3453824.90087891,8441.4441309731
96,Willowdale East,051,50434,127,114,145,148,172,168,145.7,-0.02,333.1,30,24,46,23,37,57,36.2,0.54,113,87,75,78,95,76,88,83.2,0.16,174.5,0,0,0,0,0,0,0,0,0,23,32,29,48,54,40,37.7,-0.26,79.3,9,10,13,18,14,24,14.7,0.71,47.6,5061015.62792969,9482.38347760235
97,Willowdale West,037,16936,86,116,97,92,107,112,101.7,0.05,661.3,10,15,12,14,15,31,16.2,1.07,183,30,16,38,30,35,21,28.3,-0.4,124,0,0,0,1,0,0,0.2,0,0,12,4,18,24,37,28,20.5,-0.24,165.3,4,7,4,4,6,10,5.8,0.67,59,2883462.21728516,7476.93962247558
98,Rouge,131,46496,177,167,145,185,184,182,173.3,-0.01,391.4,57,50,21,33,55,87,50.5,0.58,187.1,75,73,75,71,81,59,72.3,-0.27,126.9,1,0,0,4,0,0,0.8,0,0,24,37,31,42,28,32,32.3,0.14,68.8,10,8,13,11,16,13,11.8,-0.19,28,37534494.5393066,36133.5598431219
99,Mount Olive-Silverstone-Jamestown,002,32954,236,234,270,273,254,268,255.8,0.06,813.3,62,58,43,47,76,88,62.3,0.16,267,25,37,34,34,27,36,32.2,0.33,109.2,2,3,1,0,4,3,2.2,-0.25,9.1,76,98,102,69,62,55,77,-0.11,166.9,5,5,4,1,3,9,4.5,2,27.3,4637541.78149414,12954.6641185009
100,Cabbagetown-South St.James Town,071,11669,80,99,121,90,98,126,102.3,0.29,1079.8,5,6,8,6,17,22,10.7,0.29,188.5,70,67,51,56,39,108,65.2,1.77,925.5,2,0,0,0,0,0,0.3,0,0,9,12,24,33,28,17,20.5,-0.39,145.7,4,5,7,6,5,4,5.2,-0.2,34.3,1417963.00585938,5759.11285502324
101,Mount Pleasant East,099,16775,29,32,22,44,34,47,34.7,0.38,280.2,7,4,9,10,13,16,9.8,0.23,95.4,33,17,16,24,39,49,29.7,0.26,292.1,0,0,0,0,0,0,0,0,0,2,8,3,10,7,13,7.2,0.86,77.5,2,3,1,4,8,3,3.5,-0.63,17.9,3088926.68359375,11249.9142305672
102,Mount Pleasant West,104,29658,95,108,106,125,119,140,115.5,0.18,472,3,5,4,11,13,11,7.8,-0.15,37.1,51,75,40,61,89,119,72.5,0.34,401.2,0,0,1,0,0,2,0.5,2,6.7,15,9,10,12,21,15,13.7,-0.29,50.6,6,6,6,3,8,7,6,-0.13,23.6,1343312.14355469,5182.4697308658
103,Blake-Jones,069,7727,75,75,69,67,62,70,69.7,0.13,905.9,8,4,4,7,9,7,6.5,-0.22,90.6,21,28,23,16,27,18,22.2,-0.33,232.9,0,0,1,0,1,0,0.3,-1,0,9,12,13,18,18,10,13.3,-0.44,129.4,1,1,0,2,1,4,1.5,3,51.8,941146.807128906,4042.74340101813
104,Rexdale-Kipling,004,10529,49,59,77,87,78,62,68.7,-0.21,588.8,12,9,22,22,57,50,28.7,-0.12,474.9,18,17,16,11,18,15,15.8,-0.17,142.5,0,0,0,1,0,2,0.5,2,19,16,12,17,31,22,23,20.2,0.05,218.4,2,1,0,1,3,3,1.7,0,28.5,2505575.79150391,7067.05850908683
105,East End-Danforth,062,21381,175,189,167,175,177,186,178.2,0.05,869.9,20,14,21,24,30,16,20.8,-0.47,74.8,81,88,77,63,78,61,74.7,-0.22,285.3,3,0,0,0,1,0,0.7,-1,0,34,33,41,37,32,27,34,-0.16,126.3,4,9,11,8,8,9,8.2,0.13,42.1,2639018.67211914,7372.23709566442
106,New Toronto,018,11463,85,103,99,101,105,111,100.7,0.06,968.3,9,13,10,12,12,22,13,0.83,191.9,24,43,42,25,21,24,29.8,0.14,209.4,0,0,1,0,2,0,0.5,-1,0,19,21,20,23,19,17,19.8,-0.11,148.3,2,5,6,1,1,1,2.7,0,8.7,3481238.50732422,11321.7310679999
107,Palmerston-Little Italy,080,13826,85,86,69,90,86,100,86,0.16,723.3,13,13,12,13,21,12,14,-0.43,86.8,54,44,40,38,46,50,45.3,0.09,361.6,0,0,0,0,0,0,0,0,0,31,16,37,14,20,15,22.2,-0.25,108.5,8,1,6,8,12,13,8,0.08,94,1435236.83666992,4967.45795015605
108,Parkwoods-Donalda,045,34805,155,152,181,170,142,158,159.7,0.11,454,33,34,26,44,20,32,31.5,0.6,91.9,70,61,46,68,78,68,65.2,-0.13,195.4,0,0,0,0,1,1,0.3,0,2.9,17,23,32,47,22,36,29.5,0.64,103.4,6,6,4,10,6,5,6.2,-0.17,14.4,7464327.19628906,13452.1947587487
109,Pelmo Park-Humberlea,023,10722,61,49,64,53,76,79,63.7,0.04,736.8,29,31,24,47,67,72,45,0.07,671.5,30,15,24,31,24,22,24.3,-0.08,205.2,0,0,1,0,1,1,0.5,0,9.3,13,25,12,23,20,8,16.8,-0.6,74.6,3,6,4,6,3,7,4.8,1.33,65.3,4276047.83911133,13837.0354048742
110,Playter Estates-Danforth,067,7804,58,45,83,84,68,79,69.5,0.16,1012.3,2,7,6,4,9,9,6.2,0,115.3,37,40,25,15,23,35,29.2,0.52,448.5,0,0,0,0,2,0,0.3,-1,0,15,12,12,6,9,10,10.7,0.11,128.1,0,2,3,1,2,6,2.3,2,76.9,887593.010498047,4501.75224273094
111,Willowridge-Martingrove-Richview,007,22156,83,75,102,103,78,101,90.3,0.29,455.9,45,35,49,42,53,42,44.3,-0.21,189.6,43,36,35,39,66,39,43,-0.41,176,0,1,0,0,2,1,0.7,-0.5,4.5,21,17,57,21,16,32,27.3,1,144.4,4,3,4,4,4,3,3.7,-0.25,13.5,5517423.89746094,12059.2336182776
112,Woburn,137,53485,352,395,365,400,369,427,384.7,0.16,798.4,46,33,31,47,59,60,46,0.02,112.2,120,146,80,86,99,100,105.2,0.01,187,3,3,1,0,0,0,1.2,0,0,84,89,67,120,74,67,83.5,-0.09,125.3,11,13,14,23,13,8,13.7,-0.38,15,12334072.6975098,18111.2649924107
113,Woodbine-Lumsden,060,7865,45,37,33,32,37,30,35.7,-0.19,381.4,2,6,1,0,2,7,3,2.5,89,36,17,12,10,12,10,16.2,-0.17,127.1,0,1,0,1,0,1,0.5,1,12.7,5,7,3,6,6,3,5,-0.5,38.1,2,3,6,0,3,4,3,0.33,50.9,1196243.5871582,4871.17401499194
114,Bayview Village,052,21396,79,104,84,67,60,66,76.7,0.1,308.5,27,14,14,22,9,37,20.5,3.11,172.9,47,34,33,40,50,37,40.2,-0.26,172.9,0,0,0,0,1,0,0.2,-1,0,9,4,13,7,6,14,8.8,1.33,65.4,10,8,5,7,7,13,8.3,0.86,60.8,5159044.47216797,9504.0719910744
115,Bedford Park-Nortown,039,23236,50,26,36,48,42,62,44,0.48,266.8,42,38,30,48,51,66,45.8,0.29,284,81,67,97,121,100,89,92.5,-0.11,383,0,0,0,0,0,0,0,0,0,12,7,14,17,13,15,13,0.15,64.6,9,13,8,13,7,18,11.3,1.57,77.5,5518148.62597656,12816.8790868956
116,Rockcliffe-Smythe,111,22246,138,133,145,114,135,151,136,0.12,678.8,46,40,36,50,50,36,43,-0.28,161.8,36,38,38,37,24,43,36,0.79,193.3,0,2,0,0,0,1,0.5,1,4.5,42,38,61,49,19,11,36.7,-0.42,49.4,7,3,4,10,15,9,8,-0.4,40.5,5070764.875,11619.9536372344
117,Bridle Path-Sunnybrook-York Mills,041,9266,16,30,20,26,31,44,27.8,0.42,474.9,5,12,11,4,9,11,8.7,0.22,118.7,36,36,50,67,53,51,48.8,-0.04,550.4,0,0,0,0,0,0,0,0,0,2,1,2,1,1,13,3.3,12,140.3,8,3,5,5,4,3,4.7,-0.25,32.4,8838191.94384766,15651.290604659
118,Don Valley Village,047,27051,112,134,132,120,120,148,127.7,0.23,547.1,48,28,28,28,26,21,29.8,-0.19,77.6,80,47,65,32,58,30,52,-0.48,110.9,2,0,0,0,0,0,0.3,0,0,43,32,20,18,34,34,30.2,0,125.7,8,6,8,10,11,14,9.5,0.27,51.8,4212380.5847168,8326.61510989741
119,Weston,113,17992,180,157,192,190,167,196,180.3,0.17,1089.4,54,36,41,45,58,49,47.2,-0.16,272.3,33,55,44,75,38,58,50.5,0.53,322.4,1,0,4,1,1,2,1.5,1,11.1,37,50,47,45,42,26,41.2,-0.38,144.5,5,3,4,3,8,4,4.5,-0.5,22.2,2565537.82641602,10202.3942291964
120,Lawrence Park South,103,15179,19,29,20,23,15,30,22.7,1,197.6,15,26,20,14,31,28,22.3,-0.1,184.5,68,46,44,49,36,58,50.2,0.61,382.1,0,0,0,0,0,0,0,0,0,3,6,2,5,5,13,5.7,1.6,85.6,5,3,1,2,3,8,3.7,1.67,52.7,3242276.77905273,9777.67310447186
121,Brookhaven-Amesbury,030,17757,79,92,109,109,93,100,97,0.08,563.2,37,39,28,22,45,34,34.2,-0.24,191.5,23,43,31,32,33,50,35.3,0.52,281.6,0,0,0,0,0,0,0,0,0,28,15,26,18,18,17,20.3,-0.06,95.7,5,7,1,6,11,11,6.8,0,61.9,3507374.19091797,8980.44621396643
122,Long Branch,019,10084,60,67,60,67,57,59,61.7,0.04,585.1,9,15,13,14,11,12,12.3,0.09,119,24,33,28,27,39,29,30,-0.26,287.6,0,0,0,0,0,0,0,0,0,14,14,5,14,10,30,14.5,2,297.5,2,4,0,3,3,2,2.3,-0.33,19.8,2261880.03710938,7806.77748904137
123,Malvern,132,43794,215,280,280,289,272,333,278.2,0.22,760.4,25,31,36,56,64,71,47.2,0.11,162.1,63,43,65,35,64,44,52.3,-0.31,100.5,0,0,4,2,3,1,1.7,-0.67,2.3,40,45,64,64,45,46,50.7,0.02,105,10,3,8,7,16,10,9,-0.38,22.8,8866243.60791016,12081.2086433346
124,Dufferin Grove,083,11785,94,91,97,89,122,93,97.7,-0.24,789.1,12,8,7,11,17,6,10.2,-0.65,50.9,28,34,27,25,46,44,34,-0.04,373.4,0,0,1,0,0,0,0.2,0,0,35,35,21,12,27,32,27,0.19,271.5,8,5,3,3,9,8,6,-0.11,67.9,1387988.88574219,5148.29481614303
125,Maple Leaf,029,10111,23,33,45,26,37,31,32.5,-0.16,306.6,8,19,17,8,14,26,15.3,0.86,257.1,14,13,17,10,7,15,12.7,1.14,148.4,0,0,0,0,0,0,0,0,0,8,5,8,2,3,5,5.2,0.67,49.5,0,5,0,3,4,4,2.7,0,39.6,2526426.71240234,6377.76112811421
126,Markland Wood,012,10554,23,12,24,24,24,17,20.7,-0.29,161.1,8,15,13,9,20,9,12.3,-0.55,85.3,53,19,19,13,25,26,25.8,0.04,246.4,0,0,0,0,0,0,0,0,0,8,3,11,9,4,12,7.8,2,113.7,3,2,2,1,2,3,2.2,0.5,28.4,2953752.2175293,7846.52458569609
127,Steeles,116,24623,43,35,43,40,30,45,39.3,0.5,182.8,19,16,30,31,23,31,25,0.35,125.9,62,59,48,43,63,65,56.7,0.03,264,0,0,0,0,0,0,0,0,0,9,9,17,5,9,9,9.7,0,36.6,2,3,2,7,3,5,3.7,0.67,20.3,4561345.49414063,8943.75965677489
128,Lawrence Park North,105,14607,27,25,22,34,20,38,27.7,0.9,260.1,22,22,13,26,39,18,23.3,-0.54,123.2,34,35,27,29,12,22,26.5,0.83,150.6,1,0,0,0,0,0,0.2,0,0,0,6,4,6,2,5,3.8,1.5,34.2,4,5,3,5,4,4,4.2,0,27.4,2289800.86328125,6540.18314802893
129,Yonge-Eglinton,100,11817,64,64,73,73,78,103,75.8,0.32,871.6,11,8,4,2,16,13,9,-0.19,110,36,25,19,23,25,40,28,0.6,338.5,0,1,0,0,0,1,0.3,1,8.5,15,22,17,12,31,20,19.5,-0.35,169.2,5,5,2,4,5,8,4.8,0.6,67.7,1650438.05615234,5686.68479133382
130,Mimico,017,33964,201,200,242,340,486,326,299.2,-0.33,959.8,33,34,34,41,22,60,37.3,1.73,176.7,60,65,48,58,50,78,59.8,0.56,229.7,0,1,1,1,0,1,0.7,1,2.9,9,19,11,21,28,16,17.3,-0.43,47.1,10,15,16,14,13,18,14.3,0.38,53,7059172.01464844,23377.95577557
131,Morningside,135,17455,127,139,172,163,139,183,153.8,0.32,1048.4,20,17,13,12,12,8,13.7,-0.33,45.8,30,20,19,16,19,17,20.2,-0.11,97.4,0,1,0,0,1,1,0.5,0,5.7,18,24,13,20,14,20,18.2,0.43,114.6,1,1,0,2,2,4,1.7,1,22.9,5740138.37719727,13214.7097693979
132,Moss Park,073,20506,343,406,473,446,543,637,474.7,0.17,3106.4,25,23,16,22,48,47,30.2,-0.02,229.2,155,98,130,134,140,234,148.5,0.67,1141.1,1,1,2,4,4,3,2.5,-0.25,14.6,112,126,123,96,159,137,125.5,-0.14,668.1,6,14,12,21,35,25,18.8,-0.29,121.9,1413051.84130859,6204.52634351757
133,Little Portugal,084,15559,85,84,120,92,93,89,93.8,-0.04,572,13,13,13,17,12,12,13.3,0,77.1,41,39,40,40,56,58,45.7,0.04,372.8,1,2,1,0,1,0,0.8,-1,0,12,9,9,13,13,10,11,-0.23,64.3,5,1,4,2,11,9,5.3,-0.18,57.8,1216369.29296875,5440.95143410876
134,Woodbine Corridor,064,12541,88,75,79,75,101,98,86,-0.03,781.4,7,10,11,7,11,9,9.2,-0.18,71.8,33,27,49,30,23,33,32.5,0.43,263.1,0,3,0,0,0,0,0.5,0,0,11,17,7,18,23,11,14.5,-0.52,87.7,2,3,6,4,6,3,4,-0.5,23.9,1595684.43432617,5428.0880121982
135,Newtonbrook East,050,16097,64,65,81,60,63,66,66.5,0.05,410,12,7,4,9,11,27,11.7,1.45,167.7,35,48,42,57,64,53,49.8,-0.17,329.3,0,1,1,0,0,0,0.3,0,0,8,4,9,14,7,12,9,0.71,74.5,2,6,4,7,4,8,5.2,1,49.7,4084780.91918945,8094.59277227573
136,Milliken,130,26572,66,92,88,80,78,99,83.8,0.27,372.6,39,42,35,61,91,83,58.5,-0.09,312.4,102,117,67,113,119,132,108.3,0.11,496.8,0,0,0,0,0,1,0.2,1,3.8,38,40,40,27,18,33,32.7,0.83,124.2,16,14,10,19,18,22,16.5,0.22,82.8,9477859.22143555,16781.4773433728
137,Pleasant View,046,15818,34,50,58,53,37,44,46,0.19,278.2,12,7,8,17,13,24,13.5,0.85,151.7,17,17,32,11,30,12,19.8,-0.6,75.9,1,0,0,0,0,0,0.2,0,0,9,19,13,6,9,15,11.8,0.67,94.8,2,5,3,4,5,4,3.8,-0.2,25.3,2967493.12646484,7944.8298480591
138,Wychwood,094,14349,54,76,86,55,76,74,70.2,-0.03,515.7,5,15,18,12,22,7,13.2,-0.68,48.8,31,29,29,38,30,47,34,0.57,327.5,0,0,0,0,1,1,0.3,0,7,17,12,9,16,20,9,13.8,-0.55,62.7,3,1,4,4,2,0,2.3,-1,0,1682110.91162109,5435.0218791373
139,Leaside-Bennington,056,16828,38,27,33,35,33,31,32.8,-0.06,184.2,10,14,4,5,44,32,18.2,-0.27,190.2,37,30,32,25,32,44,33.3,0.38,261.5,0,1,0,0,0,0,0.2,0,0,6,13,8,8,8,2,7.5,-0.75,11.9,9,5,2,4,4,7,5.2,0.75,41.6,4784766.46704102,14836.6185782959
140,Briar Hill-Belgravia,108,14257,65,81,64,70,84,78,73.7,-0.07,547.1,14,14,16,10,36,19,18.2,-0.47,133.3,43,29,31,31,35,51,36.7,0.46,357.7,0,0,0,1,0,0,0.2,0,0,18,13,21,24,26,27,21.5,0.04,189.4,9,2,4,4,4,7,5,0.75,49.1,1830325.22900391,6289.70727401402
